id,name,type,club,youth,debut,nation,peakvalue,league
aaa,Alemannia Aachen,2,aaa,aaa,aaa,GER,,
aar,FC Aarau,2,aar,aar,aar,SUI,,
adm,Admira Wacker Moedling,2,adm,adm,adm,AUT,,
aja,Ajax Amsterdam,2,aja,aja,aja,NED,,
ala,Deportivo Alaves,2,ala,ala,ala,ESP,,
alk,AZ Alkmaar,2,alk,alk,alk,NED,,
and,RSC Anderlecht,2,and,and,and,BEL,,
ange,Angelholm,2,ange,ange,ange,SWE,,
anne,Patroge Saint Anne,2,anne,anne,anne,COG,,
apo,Apollon Pontou,2,apo,apo,apo,GRE,,
ars,FC Arsenal,2,ars,ars,ars,ENG,,
asco,Angers SCO,2,asco,asco,asco,FRA,,
asec,ASEC Mimosas,2,asec,asec,asec,CIV,,
asm,AS Monaco,2,asm,asm,asm,FRA,,
asse,AS St Etienne,2,asse,asse,asse,FRA,,
atm,Atletico Madrid,2,atm,atm,atm,ESP,,
atpr,Athletico Paranese,2,atpr,atpr,atpr,BRA,,
atro,Atromitos Athen,2,atro,atro,atro,GRE,,
auer,SV Auersmacher,2,auer,auer,auer,GER,,
aux,AJ Auxerre,2,aux,aux,aux,FRA,,
awie,Austria Wien,2,awie,awie,awie,AUT,,
bama,JMG Academy Bamako,2,bama,bama,bama,MAL,,
bar,FC Barcelona,2,bar,bar,bar,ESP,,
bas,FC Basel,2,bas,bas,bas,SUI,,
beif,Benlose IF,2,beif,beif,beif,DEN,,
ben,Benfica Lissabon,2,ben,ben,ben,POR,,
bie,Arminia Bielefeld,2,bie,bie,bie,GER,,
bir,Birmingham City,2,bir,bir,bir,ENG,,
bl,Bundesliga,3,,,,GER,,
blum,Blumentaler SV,2,blum,blum,blum,GER,,
bmg,Borussia Moenchengladbach,2,bmg,bmg,bmg,GER,,1
bmg1,Jonas Omlin,1,bmg,luz,luz,GER,4,
bmg10,Marcus Thuram,1,bmg,soc,soc,GER,9,
bmg11,Hannes Wolf,1,bmg,rbs,rbs,GER,5,
bmg13,Lars Stindl,1,bmg,ksc,ksc,GER,6,
bmg14,Alassane Plea,1,bmg,ol,ol,GER,9,
bmg17,Manu Kone,1,bmg,tou,tou,GER,7,
bmg18,Stefan Lainer,1,bmg,rbs,rbs,GER,6,
bmg19,Nathan Ngoumou,1,bmg,tou,tou,GER,3,
bmg20,Luca Netz,1,bmg,bscj,bsc,GER,3,
bmg21,Tobias Sippel,1,bmg,fck,fck,GER,2,
bmg23,Jonas Hofmann,1,bmg,tsgj,bvb,GER,6,
bmg24,Tony Jantschke,1,bmg,bmgj,bmg,GER,4,
bmg25,Ramy Bensebaini,1,bmg,pac,pac,GER,7,
bmg29,Joe Scally,1,bmg,nyfc,nyfc,GER,5,
bmg3,Ko Itakura,1,bmg,kaw,kaw,GER,5,
bmg30,Nico Elvedi,1,bmg,fcz,fcz,GER,9,
bmg32,Florian Neuhaus,1,bmg,mu60,mu60,GER,9,
bmg34,Conor Noss,1,bmg,bmgj,bmg,GER,1,
